"","Query","Tax","Matching","MapQ","AS.max"
"383","0576af14-fcc2-4d8f-9428-30869905d7ea","Lactobacillus_fermentum",87.4496644295302,1,1796
"387","0578e250-6b0c-4278-ac90-8afdb2c0b788","Lactobacillus_casei",92.5271739130435,1,2266
"391","0579be5d-8c6c-4bec-9c03-84af416baa91","Lactobacillus_casei",95.3920220082531,0,2464
"396","058c55ea-c1b7-4c6c-929d-8dac74fc74a5","Lactobacillus_buchneri",87.5463306152706,0,1662
"398","059b9a5a-6470-4458-852f-6d025074a020","Lactobacillus_casei",88.9042995839112,0,1850
"401","05a31e56-1abd-49ca-bd04-672af83671f2","Lactobacillus_casei",90.5673274094327,0,2026
"405","05ace3a6-5cd1-4a4a-b18d-3924a99976c0","Lactobacillus_paracasei",82.8492392807746,1,1396
"409","05b6a0a4-360d-4f9c-b889-965f3000ff93","Lactobacillus_fermentum",85.0684931506849,0,1538
"414","05b8fb87-03ee-4cc1-a000-855168344cf2","Lactobacillus_hokkaidonensis",88.5632594710507,1,1818
"418","05c77219-7e4d-4797-ac16-1c76c6d97762","Lactobacillus_casei",92.239010989011,0,2202
"423","05e209e6-111a-4da3-95bd-c565403c9468","Lactobacillus_fermentum",89.8233215547703,0,1930
"426","05e30ee6-2c42-4fbb-ab41-5761b90e34bb","Lactobacillus_casei",82.3246217331499,0,1330
"432","05e6523a-33bc-4bde-a1e3-51baddbae98c","Lactobacillus_buchneri",89.155749636099,0,1802
"435","05e6fa6a-d094-464e-8ca7-16436c5403e3","Lactobacillus_brevis",87.5991348233598,1,1710
"440","05ee09f2-df32-4f38-a2aa-3348e2c9c6d8","Lactobacillus_casei",94.9175824175824,0,2430
"443","0635e680-3a5e-482b-acf8-32b21f4e7c7e","Lactobacillus_casei",87.2252747252747,0,1744
"449","065a85bf-466f-44e6-a113-f624831a8291","Lactobacillus_casei",92.2160444797458,0,1896
"451","065ead20-ea9d-4a49-b0a5-3ed447bf0a77","Lactobacillus_casei",89.2265193370166,0,1950
"455","0675ee33-96b1-4732-a00e-f7130b739e8b","Lactobacillus_buchneri",88.8176638176638,0,1848
"456","0676733d-1d00-457b-a1c4-4a2890292594","Lactobacillus_casei",93.870523415978,0,2346
"464","06994e26-7566-46d2-b183-da52b4749c77","Lactobacillus_paracasei",87.1116986120291,0,1862
"467","06b20d72-0e45-43d4-b130-4016266407ea","Lactobacillus_casei",93.4953538241601,0,2206
"470","06bc1592-634e-4cff-9bfe-0ea610bf30d0","Lactobacillus_casei",84.7364818617385,0,1496
"477","06d4f9f4-1a77-4f80-a37f-5407543a7a33","Lactobacillus_fermentum",93.0089102124743,1,2262
"480","06edf4b8-3dad-4e3e-bda5-546b47bfff5f","Lactobacillus_casei",95.6760466712423,0,2498
"483","06f2fbf4-5eec-42cc-a1da-39bd9599c49a","Lactobacillus_casei",90.6961178045515,0,2116
"486","06ff91ce-4fe8-4dc7-9b88-5862e82966d1","Lactobacillus_casei",86.7852604828463,0,1846
"490","07020bdc-eefd-4219-91ec-32e39c03bc71","Lactobacillus_casei",84.803605924018,0,1686
"494","0714b9b1-24b8-47f7-a76a-be8cf5b8d0ba","Lactobacillus_casei",82.8232354778264,1,1510
"500","0733adc9-0808-4977-8156-84cd01294906","Lactobacillus_salivarius",83.1299353912419,0,1304
"502","0753f1db-d68e-46de-a656-c4f46ac07d9c","Lactobacillus_casei",90.850144092219,0,1962
"508","0757535d-870c-4dc7-aa0a-63d1408c978d","Lactobacillus_fermentum",95.4545454545455,0,2472
"511","075f0695-70c7-4540-9cce-630e0f02f4fa","Lactobacillus_casei",87.8387769284225,0,1764
"513","076547ef-0f25-4a34-bc79-5d5d188de683","Lactobacillus_casei",82.2311289245157,0,1324
"519","076eb5f3-4ea9-4fc4-bfd3-7fc85090c446","Lactobacillus_casei",92.2214435879467,0,2144
"523","077a37a6-6347-4387-8c79-207e5f5e0d3b","Lactobacillus_casei",92.9703652653343,0,2248
"526","07c7ffff-0a42-4042-9ec7-6cd5f73c88cb","Lactobacillus_casei",93.2881355932203,0,2314
"529","07cf8c34-b0d0-49de-aefb-73bbb092a1e3","Lactobacillus_casei",92.2614575507137,1,1990
"538","07dcd8f3-b511-427b-9467-30b7df5c57b8","Lactobacillus_sakei",87.1161548731642,26,1790
"542","07f0a1e7-d999-48df-82d5-8a555e4944a0","Lactobacillus_fermentum",89.4736842105263,0,2020
"547","07f89799-d9f9-4f48-af82-acc11ca379f1","Lactobacillus_fermentum",87.9446640316206,0,1898
"550","07feade3-562c-4dc4-92d8-12d3eb54031f","Lactobacillus_casei",94.8412698412698,0,2544
"553","08688cee-6c2e-46f0-99f8-15df1f718220","Lactobacillus_casei",84.5741113346747,0,1540
"559","0869b244-95b0-4df6-b4b3-b5584438f99c","Lactobacillus_casei",89.26735218509,0,2072
"564","086b17b3-8dc4-429c-b85a-a238a87db259","Lactobacillus_fermentum",90.5277401894452,0,2060
"571","087705a6-cdc0-4719-a916-33fc7bad2886","Lactobacillus_rhamnosus",91.7251051893408,1,2112
"575","089462fa-f17f-49ca-8b6b-28bded4e9ace","Pediococcus_claussenii",88.1540697674419,0,1730
"580","08a916ae-4246-47cf-ab7f-277a22c518c9","Lactobacillus_paracasei",92.358803986711,1,2284
"582","08b43081-b8e3-4a82-b10e-afbcc861ba23","Lactobacillus_casei",93.6431989063568,0,2322
"588","08c24b8e-a35d-4b93-9a98-f6908e29470e","Lactobacillus_paracasei",89.1499654457498,12,1984
"590","08e6d260-0a03-4d3f-a0f9-e9fad8a052fc","Lactobacillus_casei",82.8846153846154,0,1494
"599","08ef6f0f-4da0-48c5-b86d-6348ae5ddfc5","Lactobacillus_fermentum",82.2045152722444,1,1348
"604","08f4934f-d1d7-4ee8-909b-edaacd091dfd","Lactobacillus_paracasei",90.9980430528376,13,2198
"607","0900f88d-1b90-462b-9bfe-71ea556f525b","Lactobacillus_casei",93.296853625171,0,2302
"612","09011fe8-ece3-4220-adcf-22394824716a","Lactobacillus_casei",94.5429740791269,0,2408
"616","0906a101-af65-4647-8e98-c87169e6956a","Lactobacillus_brevis",86.7487328023172,1,1612
"620","092a05b0-2514-4bf6-b227-c190fb4198d3","Lactobacillus_fermentum",95.0684931506849,11,2440
"625","092d2335-0d01-4677-a9cf-065325e36056","Lactobacillus_paracasei",86.5271419228254,1,1780
"628","0931dacc-e407-44c8-bec2-c83e06a555b2","Lactobacillus_casei",91.9191919191919,0,1916
"631","093c1cfe-db6d-4349-ac8f-caea7205560c","Lactobacillus_casei",95.1303155006859,0,2454
"637","095fb9f7-17b2-49bf-b430-6ecf3998afde","Lactobacillus_fermentum",93.0686406460296,0,2310
"639","097bcfb3-612b-4119-8e02-4e0fa66c38b3","Lactobacillus_casei",85.7338820301783,0,1606
"645","098797dd-7d7c-4aa2-9588-c15cc1ddd27b","Lactobacillus_casei",89.6928327645051,0,1980
"650","09aa2183-54c9-45a4-9019-fbfaa75b1540","Lactobacillus_johnsonii",83.3929849677881,0,1362
"656","09b1845b-d5bf-463d-a225-60e00d9c8811","Lactobacillus_fermentum",86.892880904857,1,1808
"660","09bbb89b-aba4-41ef-9cd5-4cfd590a1f06","Lactobacillus_fermentum",87.1241830065359,1,1866
"662","09bc7a79-bcbf-4a68-90fc-d1eb0db8d3ba","Lactobacillus_casei",92.0927062031356,0,2196
